record_id_1,record_id_2,original_llm_score,original_llm_judgement,ground_truth_label,simulated_human_accuracy,simulated_human_judgement,is_llm_correct_vs_gt,is_human_correct_vs_gt,human_corrected_llm_error
0438d870-bdc4-414f-bff6-379c86484df1,718551f7-6a60-492d-a310-ba0e2077ab01,0.9,True,True,1.0,True,True,True,False
0438d870-bdc4-414f-bff6-379c86484df1,a584962b-16e4-4ccc-8fb5-237f4d2106cf,0.95,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,2d541e91-94c7-4118-9d3e-ec2be4f59e75,0.7,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,3bc531cb-a750-4aff-9085-72e5809d9a3b,1.0,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,5c67b676-7b25-4d2f-9130-95e5042cdd55,0.95,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,8ca72f6b-0f93-4627-9ba5-bc15d658e301,0.8,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,b6bb4e77-fd46-4fa0-a6ec-63787ff665d4,1.0,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,d3db7d57-d05f-4c38-b3d9-b14500ca3097,1.0,True,True,1.0,True,True,True,False
08425c31-f216-486e-ab34-55e6c49c50e9,e3a13900-28bd-4114-b5d7-73aba5f40f48,0.9,True,True,1.0,True,True,True,False
09727fba-6427-4bcb-82c2-91152e2e6444,416c4053-7a05-4b2c-a1f7-0f11a09c625a,0.3,False,True,1.0,True,False,True,True
09727fba-6427-4bcb-82c2-91152e2e6444,66912fce-1330-4c90-a987-7f67676af4a6,0.95,True,True,1.0,True,True,True,False
09727fba-6427-4bcb-82c2-91152e2e6444,9e1a7d7d-d862-4a9d-b297-435723b549f2,0.95,True,True,1.0,True,True,True,False
0c2f551c-3c61-429c-9887-68138eb955d6,113814d3-3e9f-446b-b7b1-d80a80d42e15,0.95,True,True,1.0,True,True,True,False
0c2f551c-3c61-429c-9887-68138eb955d6,31d96ef7-8534-4622-b37c-1d9725806070,0.3,False,True,1.0,True,False,True,True
0c2f551c-3c61-429c-9887-68138eb955d6,718551f7-6a60-492d-a310-ba0e2077ab01,0.3,False,True,1.0,True,False,True,True
0c2f551c-3c61-429c-9887-68138eb955d6,b88a110d-f874-4e2a-9d4b-8a128ad2e97b,0.7,True,True,1.0,True,True,True,False
